Commune,ZIP code,Tram-Station,Bu02s-Station
Echchallalate,28822,0,0
Sidi Maarouf,20192,0,6
Anfa,20040,8,84
Assoukhour Assawda,20320,12,42
Ben Msick,20023,0,43
Bou Chentouf,20500,0,15
El Maarif,20390,24,52
Hay Hassani,20220,20,62
Hay Mohammadi,20570,10,13
Ain Chock,20190,0,25
Ain Sebaa,20590,22,89
Al Fida,20520,2,20
Al Idrissia,20450,0,14
Lissasfa,20232,2,23
Mers Sultan,20550,4,12
Moulay Rachid,20660,0,23
Sidi Belyout,20000,14,67
Sidi Moumen,20400,14,28
Sidi Othmane,20700,0,33
Ahl Laghlam,29640,0,9
Sidi Bernoussi,20600,6,53
Moulay Youssef,20060,0,19
