commune,zip_code,population_size,household,density
echchallalate,28822,153118.0,27433.0,10614.16015625
sidi maarouf,20192,30627.0,5711.5712890625,2149.23999023437
anfa,20040,118056.8828125,22528.076171875,9013.130859375
assoukhour assawda,20320,120479.875,24751.125,35192.34765625
ben msick,20023,134933.8125,22787.908203125,18783.462890625
bou chentouf,20500,165442.671875,32743.0,17667.9140625
el maarif,20390,184958.09375,36683.28515625,12646.759765625
hay hassani,20220,140728.03125,26403.5,7957.65087890625
hay mohammadi,20570,106843.21875,20434.333984375,10690.560546875
ain chock,20190,147945.0,24882.0,10875.9111328125
ain sebaa,20590,147102.609375,25559.923828125,16482.4140625
al fida,20520,155982.375,31322.0,35225.5
al idrissia,20450,109565.0,20423.0,41799.21875
lissasfa,20232,44568.28515625,8215.7138671875,1176.2685546875
mers sultan,20550,128165.3359375,26510.666015625,12860.169921875
moulay rachid,20660,183195.0,29881.0,18268.130859375
sidi belyout,20000,175098.140625,37642.0,13853.3720703125
sidi moumen,20400,117839.0,19653.333984375,11900.1279296875
sidi othmane,20700,102278.0,17241.76953125,19805.888671875
ahl laghlam,29640,22926.0,3735.0,1950.40002441406
sidi bernoussi,20600,151863.90625,27067.908203125,10197.6416015624
moulay youssef,20060,88758.46875,17080.8828125,12660.2099609375
