commune,zip_code,n°_of_primary_roads,n°_of_secondery_roads,n°_of_highways
echchallalate,28822,6,2,22
sidi maarouf,20192,12,11,19
anfa,20040,143,154,42
assoukhour assawda,20320,64,75,2
ben msick,20023,10,26,18
bou chentouf,20500,16,55,12
el maarif,20390,111,131,25
hay hassani,20220,36,146,19
hay mohammadi,20570,31,25,7
ain chock,20190,49,39,0
ain sebaa,20590,91,49,49
al fida,20520,23,41,0
al idrissia,20450,18,40,9
lissasfa,20232,15,4,24
mers sultan,20550,11,26,0
moulay rachid,20660,42,50,0
sidi belyout,20000,171,111,4
sidi moumen,20400,19,35,8
sidi othmane,20700,9,64,4
ahl laghlam,29640,13,0,5
sidi bernoussi,20600,21,27,29
moulay youssef,20060,59,38,20
