commune,zip_code,tram-station,bus-station
echchallalate,28822,0,0
sidi maarouf,20192,0,6
anfa,20040,8,84
assoukhour assawda,20320,12,42
ben msick,20023,0,43
bou chentouf,20500,0,15
el maarif,20390,24,52
hay hassani,20220,20,62
hay mohammadi,20570,10,13
ain chock,20190,0,25
ain sebaa,20590,22,89
al fida,20520,2,20
al idrissia,20450,0,14
lissasfa,20232,2,23
mers sultan,20550,4,12
moulay rachid,20660,0,23
sidi belyout,20000,14,67
sidi moumen,20400,14,28
sidi othmane,20700,0,33
ahl laghlam,29640,0,9
sidi bernoussi,20600,6,53
moulay youssef,20060,0,19
